time,open,high,low,close,Volume,Volume MA
1675826700,21366,21382,21358,21375,664,NaN
1675827000,21376,21409,21375,21393,774,NaN
1675827300,21396,21428,21391,21423,874,NaN
1675827600,21423,21443,21409,21411,832,NaN
1675827900,21412,21415,21388,21402,490,NaN
1675828200,21402,21422,21401,21413,359,NaN
1675828500,21412,21413,21395,21398,325,NaN
1675832400,21385,21409,21347,21358,1644,NaN
1675832700,21354,21355,21317,21321,1133,NaN
1675833000,21318,21339,21310,21332,894,NaN
1675833300,21331,21345,21315,21315,671,NaN
1675833600,21315,21331,21304,21327,630,NaN
1675833900,21327,21327,21293,21301,816,NaN
1675834200,21300,21326,21297,21325,531,NaN
1675834500,21326,21337,21307,21320,701,NaN
1675834800,21320,21348,21311,21348,519,NaN
1675835100,21346,21383,21346,21383,1039,NaN
1675835400,21384,21388,21356,21357,807,NaN
1675835700,21356,21382,21355,21362,576,NaN
1675836000,21364,21378,21341,21345,629,NaN
1675836300,21345,21347,21328,21330,563,NaN
1675836600,21329,21354,21329,21346,523,NaN
1675836900,21346,21352,21323,21328,511,NaN
1675837200,21329,21333,21311,21317,572,NaN
1675837500,21316,21345,21316,21338,480,NaN
